Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (Max),Uncertainty (Min),NK,Uncertainty Type,Region,Notes
EF,Biological treatment of waste (composting and AD),Waste,5.02E-05,Gg,2012,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,5.02E-05,Gg,2013,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Waste incineration,Waste,0.00006,Gg,All,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2000,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2001,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2002,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2003,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2004,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2005,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.044036571,Gg,2006,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.044036571,Gg,2007,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.022018286,Gg,2008,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.044036571,Gg,2009,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.037083429,Gg,2010,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.037083429,Gg,2011,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
